Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,k_ratio,ret_dd,numOptimisations (.KB_ES_60_KB_2503_001)
75550,2598,54.9268668206313,29.0800615858353,-70087.5,1.06468045032319,114.059256463484,0,0.37694284937302,1.07793829142144,80
142187.5,6921,52.5502095072966,20.54435775177,-51287.5,1.09740287541851,313.793103448276,0,0.301573131228173,2.7723616865708,81
75262.5,2597,54.7554871005006,28.9805544859453,-69325,1.06458775825449,115.477560414269,0,0.361618536917389,1.08564731337901,82
136350,5053,53.0773797743915,26.9839699188601,-53650,1.09264481059963,281.496774193548,0,0.551287770808055,2.54147250698975,83
124200,2666,55.138784696174,46.5866466616654,-67175,1.1046004842615,199.959750452807,0,0.42948859213855,1.8489021213249,84
48175,3477,52.2001725625539,13.8553350589589,-62537.5,1.04892477213294,79.0239901578839,0,0.29776955720667,0.770337797321607,85
127487.5,2674,55.3103964098729,47.6767015706806,-66075,1.10667294216086,208.953083384552,0,0.445063618367594,1.92943624668937,86
111900,4443,52.4870582939455,25.185685347738,-64750,1.0900006032212,178.22018713916,0,0.409137361802552,1.72818532818533,87
128250,2673,55.2188552188552,47.979797979798,-66075,1.10732329836086,210.20282728949,0,0.44953463752019,1.94097616345062,88
142187.5,6921,52.5502095072966,20.54435775177,-51287.5,1.09740287541851,313.793103448276,0,0.301573131228173,2.7723616865708,89
128175,2673,55.181444070333,47.9517396184063,-66075,1.10727400169479,210.079901659496,0,0.44910648675309,1.93984108967083,90
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,91
166162.5,7100,52.7605633802817,23.4031690140845,-51187.5,1.11041706468199,367.514514791263,0,0.295787624604528,3.24615384615385,92
112887.5,5089,52.9573590096286,22.1826488504618,-51337.5,1.07731623375512,239.485547600106,0,0.495876464860654,2.19892865838812,93
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,94
87425,6511,52.4189832591,13.4272769159883,-58825,1.06330271077522,164.797360980207,0,0.290679725020509,1.48618784530387,95
68700,2521,54.5021816739389,27.2510908369695,-69325,1.06139684525671,106.387921022067,0,0.371210406650618,0.990984493328525,96
106337.5,4583,53.1747763473707,23.2025965524765,-45350,1.08874863074435,247.009291521487,0,0.401385002796589,2.34481808158765,97
2175,3461,50.1011268419532,0.628431089280555,-71650,1.00210051064138,3.16766794101584,0,0.209722974581022,0.0303558967201675,98
134250,4561,52.6200394650296,29.4343345757509,-56575,1.10564627188668,254.743833017078,0,0.416145397836412,2.37295625276182,99
36212.5,2285,54.4420131291028,15.8479212253829,-82225,1.03609429119633,44.5144437615243,0,0.336034926780249,0.440407418668288,100
87425,6511,52.4189832591,13.4272769159883,-58825,1.06330271077522,164.797360980207,0,0.290679725020509,1.48618784530387,101
172112.5,4817,52.4600373676562,35.7302262819182,-60300,1.13544433295953,308.445340501792,0,0.343124780298061,2.85427031509121,102
172112.5,4817,52.4600373676562,35.7302262819182,-60300,1.13544433295953,308.445340501792,0,0.343124780298061,2.85427031509121,103
