"Strategy Name";"Filters result";"Complexity";"# of trades";"Profit factor";"Net profit";"Drawdown";"Ret/DD Ratio";"Avg. Trade";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 3.19.174";"";"4";"1604";"1.36";"37286.72";"2815.91";"13.24";"23.25";"0.89";"466";"";"";"High";"ExitAfterXBars";"0.0";"18.84";"0.85";"0.85"
"Strategy 3.19.182";"";"9";"592";"1.73";"26079.25";"1964.98";"13.27";"44.05";"0.78";"894";"";"";"HighD,QQE";"ExitAfterXBars";"0.0";"15.32";"1.53";"1.53"
"Strategy 4.19.100";"";"3";"1052";"1.48";"32240.35";"2469.26";"13.06";"30.65";"0.89";"315";"";"";"High";"ExitAfterXBars";"0.0";"17.36";"1.16";"1.16"
"Strategy 4.19.105";"";"5";"1572";"1.46";"42720.12";"2719.15";"15.71";"27.18";"0.87";"503";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.29";"1.37";"1.37"
"Strategy 4.19.101";"";"5";"1130";"1.4";"30503.1";"2463.91";"12.38";"26.99";"0.86";"503";"";"";"TEMA";"ExitAfterXBars";"0.0";"16.82";"0.83";"0.83"
"Strategy 4.19.104";"";"4";"1475";"1.42";"38817.47";"2717.59";"14.28";"26.32";"0.9";"377";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.26";"1.01";"1.01"
"Strategy 4.19.113";"";"4";"1057";"1.47";"33281.85";"2609.17";"12.76";"31.49";"0.86";"475";"";"";"High";"ExitAfterXBars";"0.0";"17.68";"0.94";"0.94"
"Strategy 4.19.122";"";"5";"1151";"1.54";"37357.38";"2487.84";"15.02";"32.46";"0.89";"463";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.86";"1.37";"1.37"
"Strategy 4.19.133";"";"4";"1271";"1.5";"39862.54";"2463.91";"16.18";"31.36";"0.88";"495";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.54";"1.05";"1.05"
"Strategy 4.19.145";"";"4";"1461";"1.41";"37915.57";"3147.06";"12.05";"25.95";"0.9";"377";"";"";"High";"ExitAfterXBars";"0.0";"19.02";"0.83";"0.83"
"Strategy 4.19.148";"";"3";"1621";"1.39";"40034.51";"2757.68";"14.52";"24.7";"0.89";"471";"";"";"High";"ExitAfterXBars";"0.0";"19.59";"1.09";"1.09"
"Strategy 4.19.143";"";"5";"1445";"1.42";"37790.46";"2463.91";"15.34";"26.15";"0.87";"336";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.98";"1.26";"1.26"
"Strategy 4.19.154";"";"5";"1736";"1.45";"45325.57";"3081.37";"14.71";"26.11";"0.88";"504";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.93";"1.2";"1.2"
