"Strategy Name";"Filters result";"Complexity";"# of trades";"Net profit";"Ret/DD Ratio";"Avg. Trade";"Drawdown";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"Stagnation (MC retest, Conf. level 95%)";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 4.22.28";"PASSED";"8";"153";"1089.0";"1.55";"7.12";"701.0";"0.67";"147";"";"HullMovingAverage,MTATR";"KeltnerChannel";"ExitAfterXBars";"0.0";"10.89";"N/A";"1.71";"1.71"
"Strategy 5.26.46";"FAILED";"7";"173";"-883.0";"-0.41";"-5.1";"2164.0";"-0.51";"163";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"-8.83";"N/A";"-0.46";"-0.46"
"Strategy 3.17.29";"PASSED";"6";"208";"1026.0";"1.03";"4.93";"994.0";"0.51";"110";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"10.26";"N/A";"1.23";"1.23"
"Strategy 4.10.44";"PASSED";"8";"166";"1655.0";"1.91";"9.97";"867.0";"0.67";"110";"";"HullMovingAverage";"KeltnerChannel";"ExitAfterXBars";"0.0";"16.55";"N/A";"2.37";"2.37"
"Strategy 3.17.32";"FAILED";"7";"218";"-1434.0";"-0.51";"-6.58";"2817.0";"-0.45";"170";"";"Pivots";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-14.34";"N/A";"-0.58";"-0.58"
"Strategy 3.17.31";"FAILED";"6";"167";"1635.0";"1.24";"9.79";"1314.0";"0.61";"167";"";"SessionHigh";"SRPercentRank";"ExitAfterXBars";"0.0";"16.35";"N/A";"1.58";"1.58"
"Strategy 5.14.50";"FAILED";"11";"155";"-1047.0";"-0.47";"-6.75";"2206.0";"-0.49";"163";"";"HullMovingAverage";"KeltnerChannel,Reflex,Stochastic";"ExitAfterXBars";"0.0";"-10.47";"N/A";"-0.53";"-0.53"
"Strategy 2.7.52(1)";"PASSED";"8";"171";"522.0";"0.48";"3.05";"1097.0";"0.64";"87";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"5.22";"N/A";"0.55";"0.55"
"Strategy 4.4.46";"PASSED";"6";"143";"1188.0";"1.13";"8.31";"1050.0";"0.64";"70";"";"HullMovingAverage";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"11.88";"N/A";"1.35";"1.35"
"Strategy 4.4.45";"PASSED";"6";"118";"160.0";"0.13";"1.36";"1223.0";"0.62";"174";"";"HullMovingAverage";"BarMonthIsNot";"ExitAfterXBars";"0.0";"1.6";"N/A";"0.14";"0.14"
"Strategy 4.17.31(1)";"PASSED";"8";"157";"1769.0";"3.79";"11.27";"467.0";"0.72";"57";"";"HullMovingAverage,MTATR";"KeltnerChannel";"ExitAfterXBars";"0.0";"17.69";"N/A";"4.24";"4.24"
"Strategy 4.4.41";"FAILED";"8";"125";"-585.0";"-0.31";"-4.68";"1914.0";"-0.51";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-5.85";"N/A";"-0.35";"-0.35"
"Strategy 2.9.42";"FAILED";"8";"125";"-652.0";"-0.37";"-5.22";"1745.0";"-0.56";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-6.52";"N/A";"-0.41";"-0.41"
"Strategy 2.9.40";"PASSED";"5";"131";"1403.0";"1.78";"10.71";"787.0";"0.61";"106";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"14.03";"N/A";"1.94";"1.94"
"Strategy 2.16.31(1)";"PASSED";"6";"133";"4006.0";"8.84";"30.12";"453.0";"0.79";"51";"";"HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"40.06";"N/A";"10.09";"10.09"
"Strategy 5.14.51";"FAILED";"9";"104";"-937.0";"-0.49";"-9.01";"1914.0";"-0.57";"245";"";"HullMovingAverage";"LaguerreRSI,Stochastic";"ExitAfterXBars";"0.0";"-9.37";"N/A";"-0.54";"-0.54"
"Strategy 5.26.30";"FAILED";"7";"162";"-234.0";"-0.17";"-1.44";"1392.0";"-0.47";"163";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-2.34";"N/A";"-0.19";"-0.19"
"Strategy 3.6.28(1)";"FAILED";"8";"174";"-465.0";"-0.2";"-2.67";"2309.0";"-0.45";"173";"";"HullMovingAverage,SmallestRange";"KeltnerChannel";"ExitAfterXBars";"0.0";"-4.65";"N/A";"-0.24";"-0.24"
"Strategy 3.17.36";"PASSED";"8";"204";"1649.0";"1.35";"8.08";"1226.0";"0.51";"109";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"16.49";"N/A";"1.72";"1.72"
"Strategy 4.10.32";"FAILED";"8";"175";"-488.0";"-0.21";"-2.79";"2279.0";"-0.47";"163";"";"HullMovingAverage";"BollingerBands,KeltnerChannel";"ExitAfterXBars";"0.0";"-4.88";"N/A";"-0.25";"-0.25"
"Strategy 3.17.43";"PASSED";"8";"134";"583.0";"0.45";"4.35";"1289.0";"0.52";"162";"";"HullMovingAverage";"GannHiLo,HullMovingAverage";"ExitAfterXBars";"0.0";"5.83";"N/A";"0.54";"0.54"
"Strategy 3.17.33";"PASSED";"8";"198";"1347.0";"0.79";"6.8";"1701.0";"0.37";"147";"";"HullMovingAverage,SmallestRange";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"13.47";"N/A";"1.03";"1.03"
"Strategy 2.9.44";"PASSED";"6";"117";"1773.0";"4.38";"15.15";"405.0";"0.7";"57";"";"SessionHigh";"SRPercentRank";"ExitAfterXBars";"0.0";"17.73";"N/A";"4.73";"4.73"
"Strategy 3.17.41";"FAILED";"8";"120";"-533.0";"-0.37";"-4.44";"1443.0";"-0.62";"244";"";"HullMovingAverage";"LinearRegression";"ExitAfterXBars";"0.0";"-5.33";"N/A";"-0.4";"-0.4"
